"Country","Start Date","End Date"
"AFG","2020-01-22","2020-08-15"
"AGO","2020-03-22","2020-08-15"
"ALB","2020-03-09","2020-08-15"
"AND","2020-03-03","2020-08-15"
"ARE","2020-01-22","2020-08-15"
"ARG","2020-02-11","2020-08-15"
"ARM","2020-01-22","2020-08-15"
"ATG","2020-03-15","2020-08-15"
"AUS","2020-01-22","2020-08-15"
"AUT","2020-01-22","2020-08-15"
"AZE","2020-01-22","2020-08-15"
"BEL","2020-01-22","2020-08-15"
"BEN","2020-03-17","2020-08-15"
"BFA","2020-03-11","2020-08-15"
"BGD","2020-03-04","2020-08-15"
"BGR","2020-03-08","2020-08-15"
"BHR","2020-01-22","2020-08-15"
"BHS","2020-03-16","2020-08-15"
"BIH","2020-03-06","2020-08-15"
"BLR","2020-01-22","2020-08-15"
"BLZ","2020-03-24","2020-08-15"
"BOL","2020-03-12","2020-08-15"
"BRA","2020-01-22","2020-08-15"
"BRB","2020-03-18","2020-08-15"
"BRN","2020-03-10","2020-08-15"
"BTN","2020-03-06","2020-08-15"
"CAF","2020-03-16","2020-08-15"
"CAN","2020-01-22","2020-08-15"
"CHE","2020-01-22","2020-08-15"
"CHL","2020-03-04","2020-08-15"
"CHN","2020-01-22","2020-08-15"
"CMR","2020-03-07","2020-08-15"
"COL","2020-03-05","2020-08-15"
"CRI","2020-03-07","2020-08-15"
"CUB","2020-03-12","2020-08-15"
"CYP","2020-03-10","2020-08-15"
"DEU","2020-01-22","2020-08-15"
"DJI","2020-03-19","2020-08-15"
"DMA","2020-03-23","2020-08-15"
"DNK","2020-01-22","2020-08-15"
"DOM","2020-01-22","2020-08-15"
"DZA","2020-01-22","2020-08-15"
"ECU","2020-01-22","2020-08-15"
"EGY","2020-01-22","2020-08-15"
"ERI","2020-03-22","2020-08-15"
"ESP","2020-01-22","2020-08-15"
"EST","2020-01-22","2020-08-15"
"ETH","2020-03-14","2020-08-15"
"FIN","2020-01-22","2020-08-15"
"FJI","2020-01-30","2020-08-15"
"FRA","2020-01-22","2020-08-15"
"GAB","2020-03-13","2020-08-15"
"GBR","2020-01-22","2020-08-15"
"GEO","2020-01-22","2020-08-15"
"GHA","2020-03-13","2020-08-15"
"GIN","2020-03-14","2020-08-15"
"GMB","2020-03-18","2020-08-15"
"GNB","2020-03-27","2020-08-15"
"GNQ","2020-03-15","2020-08-15"
"GRC","2020-01-22","2020-08-15"
"GRD","2020-03-23","2020-08-15"
"GTM","2020-03-15","2020-08-15"
"GUY","2020-03-13","2020-08-15"
"HND","2020-03-12","2020-08-15"
"HRV","2020-01-22","2020-08-15"
"HTI","2020-03-20","2020-08-15"
"HUN","2020-03-04","2020-08-15"
"IDN","2020-01-22","2020-08-15"
"IND","2020-01-22","2020-08-15"
"IRL","2020-01-22","2020-08-15"
"IRN","2020-01-22","2020-08-15"
"IRQ","2020-01-22","2020-08-15"
"ISL","2020-01-22","2020-08-15"
"ISR","2020-01-22","2020-08-15"
"ITA","2020-01-22","2020-08-15"
"JAM","2020-03-12","2020-08-15"
"JOR","2020-03-03","2020-08-15"
"JPN","2020-01-22","2020-08-15"
"KAZ","2020-03-13","2020-08-15"
"KEN","2020-03-06","2020-08-15"
"KGZ","2020-03-19","2020-08-15"
"KHM","2020-01-22","2020-08-15"
"KNA","2020-03-26","2020-08-15"
"KOR","2020-01-22","2020-08-15"
"KWT","2020-01-22","2020-08-15"
"LBN","2020-01-22","2020-08-15"
